"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R9,R10";"R_01005_0402Metric";3;"2000";;;
2;"C6";"C_01005_0402Metric";1;"0.1 uF";;;
3;"C4,C3,C5";"C_01005_0402Metric";3;"100pF";;;
4;"C7";"C_0603_1608Metric";1;"1 uF";;;
5;"U7";"JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical";1;"~";;;
6;"U8";"PinHeader_1x03_P2.54mm_Vertical";1;"~";;;
7;"SW1,SW2";"KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0";2;"~";;;
8;"U1";"VQFN-28_L6.0-W5.0-P0.50-TL-EP4.0";1;"~";;;
9;"C10,C24,C11";"C_0402_1005Metric";3;"0.1 uF";;;
10;"R4,R2,R3";"R_01005_0402Metric";3;"600";;;
11;"C18";"C_0402_1005Metric";1;"0.1 uf 6.3v";;;
12;"R7";"R_0402_1005Metric";1;"10k";;;
13;"U2";"JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical";1;"~";;;
14;"LED1";"LED0603-RD";1;"~";;;
15;"CN1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"~";;;
16;"R8";"R_0603_1608Metric";1;"1k";;;
17;"C12";"C_01005_0402Metric";1;"10 nf";;;
18;"C19,C16,C14";"C_01005_0402Metric";3;"100 nf";;;
19;"R6";"R_0603_1608Metric";1;"22.1k";;;
20;"C20";"C_01005_0402Metric";1;"220nf";;;
21;"R1";"C_0805_2012Metric";1;"69.8 k";;;
22;"C15,C17";"C_01005_0402Metric";2;"4.7 uf";;;
23;"C21,C22,C23";"C_01005_0402Metric";3;"C_Small";;;
24;"C9";"C_0603_1608Metric";1;"10 uf";;;
25;"C2";"C_0805_2012Metric";1;"22uF/10v";;;
26;"U5";"TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL";1;"~";;;
27;"U3";"QFN-32_L5.0-W5.0-P0.50-BL-EP3.7";1;"~";;;
28;"L1";"L_Bourns_SRP5030T";1;"22uH";;;
29;"U6";"LGA-12_L2.0-W2.0-P0.50-BL";1;"~";;;
30;"C8";"C_0402_1005Metric";1;"0.1 uf";;;
31;"C13";"C_01005_0402Metric";1;"2.2UF";;;
32;"C1";"C_1206_3216Metric";1;"2.2UF";;;
33;"U4";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR";1;"~";;;
