Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,2.2UF,
"C10, C11, C24, C8",0402,4,0.1 uF,
C12,01005,1,10 nf,
C13,01005,1,2.2UF,
"C14, C16, C19",01005,3,100 nf,
"C15, C17",01005,2,4.7 uf,
C18,0402,1,0.1 uf 6.3v,
C2,0805,1,22uF/10v,
C20,01005,1,220nf,
"C21, C23",01005,2,100nF,
C22,01005,1,10uF,
"C3, C4, C5",01005,3,100pF,
C6,01005,1,0.1 uF,
C7,0603,1,1 uF,
C9,0603,1,10 uf,
CN1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,~,
L1,L_Bourns_SRP5030T,1,22uH,
LED1,LED0603-RD,1,~,
R1,0805,1,69.8 k,
"R10, R11, R9",01005,3,2000,
"R2, R3, R4",01005,3,600,
R6,0603,1,22.1k,
R7,0402,1,10k,
R8,0603,1,1k,
"SW1, SW2",KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0,2,~,
U1,VQFN-28_L6.0-W5.0-P0.50-TL-EP4.0,1,~,
U2,JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical,1,~,
U3,QFN-32_L5.0-W5.0-P0.50-BL-EP3.7,1,~,
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,~,
U5,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,~,
U6,LGA-12_L2.0-W2.0-P0.50-BL,1,~,
U7,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,~,
U8,PinHeader_1x03_P2.54mm_Vertical,1,~,
